age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,predicted_output,actual_output
22,8,2,1,1522,0,0,0,30,10,368,2,-1,0,1,1
31,9,2,2,882,0,0,0,4,11,293,1,93,1,1,1
76,5,1,0,163,0,0,1,13,10,120,1,-1,0,1,0
33,9,0,1,370,1,0,0,11,1,145,4,-1,0,0,0
40,7,1,0,1082,1,0,2,30,8,854,2,-1,0,1,1
36,6,2,2,583,0,0,0,30,4,859,1,235,1,1,0
47,9,1,1,293,0,0,0,1,6,251,1,90,1,0,1
34,1,1,0,3868,1,0,0,18,8,134,1,350,1,0,0
56,1,1,0,136,0,0,0,4,1,270,1,-1,0,0,0
32,6,2,2,46,1,0,0,14,6,485,2,-1,0,1,1
59,5,1,3,1033,0,0,2,11,6,1199,1,-1,0,1,1
60,4,1,2,5990,1,0,0,6,8,396,3,-1,0,0,1
51,2,1,0,538,0,0,0,18,9,1122,4,-1,0,1,1
47,10,0,1,0,0,1,0,30,4,127,2,233,8,0,0
37,9,2,2,0,1,0,0,23,5,366,6,-1,0,0,1
54,4,1,3,24,0,0,0,31,5,12,10,-1,0,0,0
53,4,0,2,2679,0,0,0,20,9,295,3,-1,0,1,1
59,9,1,1,116,0,0,0,11,3,268,1,183,7,1,1
50,1,1,2,5423,1,0,0,21,9,75,3,-1,0,0,0
32,9,0,2,267,0,0,0,26,8,128,1,-1,0,0,0
52,0,0,1,361,0,1,0,20,9,147,1,-1,0,0,0
49,4,1,2,1,0,0,1,4,8,1076,3,175,1,1,1
33,0,1,2,205,0,0,2,1,5,156,2,-1,0,0,0
26,11,2,1,3247,0,0,1,6,3,341,3,-1,0,0,0
32,1,1,1,897,1,0,0,7,0,293,3,322,2,0,0
45,5,0,1,1735,0,1,2,17,6,306,1,-1,0,0,0
33,1,1,1,0,1,1,0,31,5,16,43,-1,0,0,0
40,0,1,2,764,1,0,2,17,9,85,1,-1,0,0,1
53,0,1,1,849,1,0,0,6,3,3102,3,-1,0,1,1
25,4,2,2,1602,1,0,0,26,8,154,1,-1,0,0,0
33,1,1,1,0,1,0,2,21,8,521,3,-1,0,0,1
55,4,1,2,23189,1,0,2,14,8,77,1,-1,0,0,0
31,4,2,2,354,0,0,0,30,0,502,1,9,2,1,1
45,9,1,1,-312,1,0,0,16,5,268,1,-1,0,0,0
36,9,2,1,12264,0,0,0,12,0,158,2,-1,0,1,1
54,9,1,2,6507,0,0,0,26,8,145,1,-1,0,0,0
34,4,1,2,0,0,0,0,6,3,787,3,9,1,1,1
39,1,1,1,171,1,1,0,8,8,153,1,353,1,0,0
21,8,2,1,123,0,0,1,11,9,513,1,91,1,0,1
50,0,1,1,159,1,0,2,7,8,216,2,-1,0,0,0
30,6,1,2,163,1,0,0,18,8,149,1,362,8,0,0
56,5,1,1,3738,1,0,0,17,0,156,1,305,6,0,1
34,4,2,2,9,0,0,0,11,5,439,2,-1,0,1,0
36,1,1,0,21,0,0,1,20,9,35,1,-1,0,0,0
44,7,2,1,0,1,0,2,14,8,198,1,-1,0,0,0
35,1,1,1,262,0,0,0,15,11,331,1,75,6,1,1
31,7,2,1,3,1,0,0,5,8,41,1,-1,0,0,0
27,0,1,1,16,1,0,0,3,3,54,3,-1,0,0,0
44,4,2,2,483,0,0,0,6,7,207,2,199,6,1,1
33,4,1,2,0,1,0,0,9,5,310,1,-1,0,0,0
32,4,2,2,0,0,0,0,22,1,360,2,-1,0,0,0
43,4,1,1,107,1,1,1,28,10,135,1,-1,0,1,1
41,9,1,2,63,0,0,0,25,1,36,3,-1,0,0,0
87,5,1,0,2190,0,0,1,12,4,512,2,-1,0,1,1
32,9,0,2,3255,0,0,0,29,6,167,2,-1,0,1,1
58,5,1,0,2074,0,0,0,18,6,259,2,-1,0,1,1
36,4,1,2,849,1,1,2,21,8,958,2,-1,0,1,1
37,2,1,2,-456,1,1,2,20,6,42,7,-1,0,0,0
57,4,1,2,3431,1,0,0,21,9,55,2,189,1,0,0
34,1,2,1,3723,1,0,2,27,8,47,5,-1,0,0,0
36,1,2,1,-175,1,0,2,15,8,180,2,-1,0,0,0
42,2,1,1,0,1,0,0,9,0,331,1,140,4,0,1
50,2,1,2,230,0,0,1,30,5,1089,4,-1,0,1,1
31,9,1,1,0,1,1,0,28,4,71,1,223,9,0,0
43,4,0,3,7702,0,0,0,22,8,460,1,95,2,1,1
32,1,2,0,1426,1,0,0,20,9,114,1,-1,0,0,0
60,5,1,1,0,0,0,0,9,11,408,1,-1,0,1,1
36,9,2,1,-15,1,0,2,6,8,341,3,-1,0,0,0
53,4,1,2,75,0,0,0,20,1,216,2,-1,0,0,0
35,6,2,2,71,0,0,0,15,6,651,1,-1,0,1,1
75,5,1,2,2991,0,0,0,22,0,240,1,-1,0,1,1
39,1,1,1,1403,0,0,0,11,8,214,8,326,2,1,0
21,8,2,1,794,0,0,0,5,6,191,1,-1,0,1,1
41,4,1,2,65,1,0,2,6,8,524,2,-1,0,0,0
53,1,1,3,111,0,0,2,20,6,39,3,-1,0,0,0
74,5,0,0,29080,0,0,0,30,6,301,5,93,4,1,1
46,9,1,2,0,0,0,0,20,9,531,1,167,1,1,1
34,4,1,2,11,1,0,0,17,5,654,1,-1,0,1,0
48,1,1,0,51,0,1,1,9,5,76,1,-1,0,0,0
54,4,1,2,8295,0,0,0,2,10,849,2,119,1,1,1
32,7,2,1,182,1,0,0,6,8,145,1,-1,0,0,0
32,1,1,0,-454,1,1,0,18,8,801,5,355,2,1,1
30,0,1,1,15,1,0,2,9,8,257,1,-1,0,0,0
42,1,1,0,2003,1,0,0,17,0,177,3,-1,0,0,0
27,9,0,1,21,1,0,0,18,8,336,1,356,1,0,0
53,0,0,1,0,1,1,0,30,0,586,2,-1,0,1,0
40,7,0,0,471,1,0,0,16,0,1156,1,345,2,1,1
44,9,1,1,135,1,0,0,8,8,262,3,-1,0,0,0
55,4,0,2,-207,0,0,0,2,3,211,1,-1,0,0,0
32,0,1,1,20011,0,0,0,20,0,234,1,-1,0,1,0
35,4,0,2,1723,1,0,0,25,5,862,1,-1,0,1,1
41,1,1,1,2823,1,0,2,14,8,858,1,-1,0,1,1
59,4,0,2,0,1,0,0,31,5,52,8,-1,0,0,0
48,6,1,1,1559,0,0,0,24,2,520,3,133,3,1,0
32,0,1,1,56,1,0,0,2,3,275,1,258,1,0,0
26,9,2,1,-454,0,1,0,18,5,652,2,-1,0,1,0
49,4,1,2,1167,1,1,0,24,11,249,1,91,14,1,1
49,9,2,1,-188,1,1,0,17,9,454,1,-1,0,1,1
31,4,2,2,354,0,0,0,21,0,242,2,-1,0,1,1
35,1,2,1,0,1,0,0,16,0,1174,1,345,4,1,1
33,9,2,2,8097,0,1,0,21,1,500,2,-1,0,0,0
40,1,2,3,29,0,0,1,7,5,118,2,-1,0,0,0
37,1,1,0,0,1,0,2,26,8,24,1,-1,0,0,0
40,0,1,1,367,1,0,1,5,3,89,1,274,1,0,0
39,4,1,2,-233,1,0,0,19,9,249,1,-1,0,0,0
32,9,2,2,0,1,1,0,13,8,440,2,-1,0,1,1
27,4,2,2,-69,1,0,0,15,3,205,3,-1,0,0,1
32,1,1,0,274,1,0,2,9,8,21,3,-1,0,0,0
39,9,2,1,15,1,0,0,30,0,510,1,-1,0,1,1
38,0,1,1,47,1,0,0,4,8,288,5,-1,0,1,1
37,4,2,2,427,1,0,2,20,8,121,1,-1,0,0,0
31,11,1,1,3,0,0,0,20,5,91,2,-1,0,0,0
52,7,1,1,657,0,0,1,7,5,398,2,460,2,1,1
35,2,2,2,145,1,0,0,18,5,799,2,-1,0,1,1
43,9,0,1,1612,0,0,0,25,8,262,2,353,1,1,1
76,5,1,2,2991,0,0,0,25,4,195,1,95,2,1,0
37,1,2,3,217,0,0,0,23,11,272,2,-1,0,1,1
58,6,1,2,-364,1,0,2,5,8,355,1,-1,0,0,0
37,2,1,1,-170,1,0,2,28,8,39,1,-1,0,0,0
41,1,2,3,961,1,0,2,29,8,117,1,-1,0,0,0
52,5,1,3,293,0,0,2,11,6,706,1,-1,0,1,1
70,5,1,1,0,0,0,0,27,10,258,1,92,5,1,1
51,5,1,0,610,0,0,2,9,6,86,2,-1,0,0,0
44,9,2,1,365,1,0,2,8,8,169,2,-1,0,0,0
56,9,0,1,146,1,0,0,5,1,419,3,-1,0,1,1
38,1,1,1,468,1,0,2,8,8,101,2,-1,0,0,0
33,0,2,1,241,0,0,0,22,5,490,1,-1,0,1,0
25,1,2,1,-375,1,0,0,14,5,61,2,-1,0,0,0
52,7,1,1,1000,0,0,0,5,1,766,2,-1,0,1,1
49,9,0,1,-236,1,0,2,26,8,204,2,-1,0,0,0
34,0,0,0,9569,1,0,2,9,8,43,2,-1,0,0,0
35,0,0,1,0,0,1,0,14,5,245,2,-1,0,0,0
37,1,1,3,622,1,0,0,11,8,175,1,-1,0,0,0
45,3,0,0,221,0,0,0,2,3,93,1,235,1,0,0
37,7,0,1,49,1,0,2,16,8,619,2,-1,0,0,1
50,2,0,2,816,0,0,0,19,9,630,1,-1,0,1,0
38,1,1,1,2467,0,0,0,2,6,192,1,-1,0,1,1
41,4,1,2,4063,1,0,0,12,8,14,5,172,2,0,0
40,4,1,2,158,0,0,1,30,0,712,2,-1,0,1,1
39,7,1,1,93,1,0,0,11,8,72,4,-1,0,0,0
45,2,0,2,-395,1,0,2,13,8,470,1,-1,0,0,1
25,7,2,2,12,0,0,0,12,6,126,6,-1,0,1,1
22,4,2,2,104,0,1,0,18,10,509,1,185,3,1,1
31,7,2,1,205,1,0,0,15,0,465,1,-1,0,1,0
47,0,1,1,3480,0,0,0,16,0,443,1,-1,0,1,1
34,4,1,2,250,0,0,0,9,2,787,1,188,8,1,0
32,1,2,1,1036,1,1,2,30,8,62,2,-1,0,0,0
60,5,0,2,439,0,1,0,25,8,464,1,321,1,1,1
24,8,2,1,23878,0,0,0,18,3,185,1,-1,0,0,1
53,0,0,1,-372,1,0,2,26,8,104,1,-1,0,0,0
50,4,1,2,346,0,0,0,6,3,178,1,-1,0,0,1
40,3,0,1,108,0,0,2,9,8,93,1,-1,0,0,0
34,4,1,2,158,0,0,0,9,6,190,1,92,9,1,1
54,1,0,0,215,1,0,2,4,6,71,5,-1,0,0,0
34,9,0,1,259,0,0,0,11,1,316,2,-1,0,0,0
31,0,2,1,190,0,0,0,30,0,514,1,-1,0,1,1
36,0,1,1,75,1,0,2,4,5,52,4,-1,0,0,0
24,9,2,1,409,1,0,2,16,8,912,1,-1,0,1,1
46,1,1,1,922,0,1,0,14,5,151,2,-1,0,0,0
53,1,1,3,2509,0,0,1,22,8,231,2,-1,0,1,1
30,9,2,2,655,0,0,0,6,10,384,2,-1,0,1,1
33,9,2,2,1636,1,0,0,27,3,165,1,-1,0,0,1
36,1,1,1,561,1,0,2,9,6,198,2,-1,0,0,0
22,8,2,1,107,0,0,0,14,0,125,1,-1,0,1,1
38,6,1,2,2084,1,0,0,16,0,71,2,330,2,0,0
36,4,2,2,20,1,0,0,20,0,766,2,150,3,1,0
34,4,2,2,1494,1,0,0,18,9,596,1,182,1,1,1
36,4,1,2,3949,0,0,0,28,4,130,2,-1,0,0,1
52,1,1,1,955,0,1,0,17,6,301,2,134,4,1,1
57,9,0,2,126,0,0,1,4,6,166,2,-1,0,1,1
29,4,2,2,437,0,0,0,5,1,504,1,92,1,1,1
40,0,1,1,1535,1,0,2,14,8,704,1,-1,0,1,1
37,1,1,3,1508,0,1,2,6,6,381,2,-1,0,0,1
57,9,1,1,589,1,0,0,11,1,167,1,190,5,0,1
57,5,1,1,1841,0,0,1,5,6,302,1,-1,0,1,1
45,4,0,2,6269,1,0,0,29,5,20,2,-1,0,0,0
56,1,1,3,665,1,0,2,20,6,109,2,-1,0,0,0
35,10,1,1,759,0,0,0,19,9,556,3,-1,0,1,0
66,5,1,2,1948,0,0,0,29,10,106,2,269,2,1,1
